file;nodes;edges;lambda;source;target;k_desired;k_effective;success_rate;avg_bounces;avg_failed;avg_hops
Aarnet.graphml;19;24;1;5;3;1;1;0.4500;0.5500;3.0000;5.0000
Aarnet.graphml;19;24;1;5;3;2;1;0.8000;0.2000;1.9500;5.0000
Aarnet.graphml;19;24;1;5;3;3;1;0.6500;0.3500;2.2500;5.0000
Aarnet.graphml;19;24;1;5;3;4;1;0.8500;0.1500;2.0500;5.0000
Aarnet.graphml;19;24;1;5;3;5;1;0.2500;0.7500;2.7000;9.0000
Abilene.graphml;11;14;2;0;4;1;1;0.5000;0.5000;1.4500;6.0000
Abilene.graphml;11;14;2;0;4;2;2;0.3000;1.6500;1.9000;7.8333
Abilene.graphml;11;14;2;0;4;3;2;0.7000;0.6000;1.7500;5.0000
Abilene.graphml;11;14;2;0;4;4;2;0.4500;1.4000;2.4500;5.6667
Abilene.graphml;11;14;2;0;4;5;2;0.3500;1.4500;1.6500;5.1429
Abvt.graphml;23;31;1;17;1;1;1;0.4000;0.6000;3.5000;5.0000
Abvt.graphml;23;31;1;17;1;2;1;0.6500;0.3500;2.5500;8.0000
Abvt.graphml;23;31;1;17;1;3;1;0.8000;0.2000;4.1000;10.0000
Abvt.graphml;23;31;1;17;1;4;1;0.9500;0.0500;3.6000;5.0000
Abvt.graphml;23;31;1;17;1;5;1;0.3500;0.6500;3.4500;12.0000
Aconet.graphml;23;31;1;5;4;1;1;0.8500;0.1500;3.9000;2.0000
Aconet.graphml;23;31;1;5;4;2;1;0.8500;0.1500;4.0500;2.0000
Aconet.graphml;23;31;1;5;4;3;1;0.4500;0.5500;3.5000;4.0000
Aconet.graphml;23;31;1;5;4;4;1;0.8000;0.2000;3.5000;2.0000
Aconet.graphml;23;31;1;5;4;5;1;0.7500;0.2500;3.7000;2.0000
Agis.graphml;25;30;1;0;9;1;1;0.3500;0.6500;3.9500;5.0000
Agis.graphml;25;30;1;0;9;2;1;0.9000;0.1000;3.9500;4.0000
Agis.graphml;25;30;1;0;9;3;1;0.3000;0.7000;3.3000;5.0000
Agis.graphml;25;30;1;0;9;4;1;0.4500;0.5500;2.8500;8.0000
Agis.graphml;25;30;1;0;9;5;1;0.5500;0.4500;2.7000;5.0000
Ai3.graphml;10;9;1;0;2;1;1;0.9000;0.1000;0.7500;2.0000
Ai3.graphml;10;9;1;0;2;2;1;1.0000;0.0000;1.3000;2.0000
Ai3.graphml;10;9;1;0;2;3;1;0.9000;0.1000;0.6000;2.0000
Ai3.graphml;10;9;1;0;2;4;1;1.0000;0.0000;1.0500;2.0000
Ai3.graphml;10;9;1;0;2;5;1;0.6000;0.4000;2.2000;2.0000
