k_effective;num_failures;success_rate;avg_bounces;avg_hops;unique_paths;avg_path_length;failure_percentage
1;0;1.0;0.0;2.0;1;3.0;0.0
1;1;1.0;0.0;2.0;1;3.0;0.3968253968253968
1;2;1.0;0.0;2.0;1;3.0;0.7936507936507936
1;3;1.0;0.0;2.0;1;3.0;1.1904761904761905
1;4;1.0;0.0;2.0;1;3.0;1.5873015873015872
1;5;1.0;0.0;2.0;1;3.0;1.984126984126984
1;6;1.0;0.0;2.0;1;3.0;2.380952380952381
1;7;1.0;0.0;2.0;1;3.0;2.7777777777777777
1;8;1.0;0.0;2.0;1;3.0;3.1746031746031744
1;9;1.0;0.0;2.0;1;3.0;3.571428571428571
1;10;1.0;0.0;2.0;1;3.0;3.968253968253968
1;11;1.0;0.0;2.0;1;3.0;4.365079365079365
1;12;1.0;0.0;2.0;1;3.0;4.761904761904762
1;13;0.0;0.0;0.0;1;3.0;5.158730158730158
1;14;0.0;0.0;0.0;1;3.0;5.555555555555555
1;15;0.0;0.0;0.0;1;3.0;5.952380952380952
2;0;1.0;0.0;6.0;1;7.0;0.0
2;1;1.0;0.0;6.0;1;7.0;0.3968253968253968
2;2;1.0;0.0;6.0;1;7.0;0.7936507936507936
2;3;1.0;0.0;6.0;1;7.0;1.1904761904761905
2;4;1.0;0.0;6.0;1;7.0;1.5873015873015872
2;5;1.0;0.0;6.0;1;7.0;1.984126984126984
2;6;1.0;0.0;6.0;1;7.0;2.380952380952381
2;7;1.0;0.0;6.0;1;7.0;2.7777777777777777
2;8;1.0;0.0;6.0;1;7.0;3.1746031746031744
2;9;1.0;0.0;6.0;1;7.0;3.571428571428571
2;10;1.0;1.0;9.0;2;7.2727272727272725;3.968253968253968
2;11;1.0;0.0;6.0;2;7.25;4.365079365079365
2;12;1.0;0.0;6.0;2;7.230769230769231;4.761904761904762
2;13;1.0;0.0;6.0;2;7.214285714285714;5.158730158730158
2;14;1.0;1.0;9.0;2;7.4;5.555555555555555
2;15;1.0;0.0;6.0;2;7.375;5.952380952380952
3;0;1.0;0.0;4.0;1;5.0;0.0
3;1;1.0;0.0;4.0;1;5.0;0.3968253968253968
3;2;1.0;0.0;4.0;1;5.0;0.7936507936507936
3;3;1.0;0.0;4.0;1;5.0;1.1904761904761905
3;4;1.0;0.0;4.0;1;5.0;1.5873015873015872
3;5;1.0;0.0;4.0;1;5.0;1.984126984126984
3;6;1.0;0.0;4.0;1;5.0;2.380952380952381
3;7;1.0;0.0;4.0;1;5.0;2.7777777777777777
3;8;1.0;0.0;4.0;1;5.0;3.1746031746031744
3;9;1.0;0.0;4.0;1;5.0;3.571428571428571
3;10;1.0;0.0;4.0;1;5.0;3.968253968253968
3;11;1.0;0.0;4.0;1;5.0;4.365079365079365
3;12;1.0;0.0;4.0;1;5.0;4.761904761904762
3;13;1.0;0.0;4.0;1;5.0;5.158730158730158
3;14;1.0;0.0;4.0;1;5.0;5.555555555555555
3;15;1.0;0.0;4.0;1;5.0;5.952380952380952
