k_effective;num_failures;success_rate;avg_bounces;avg_hops;unique_paths;avg_path_length;failure_percentage
1;0;1.0;0.0;1.0;1;2.0;0.0
1;1;1.0;0.0;1.0;1;2.0;4.166666666666666
1;2;1.0;0.0;1.0;1;2.0;8.333333333333332
1;3;1.0;0.0;1.0;1;2.0;12.5
1;4;1.0;0.0;1.0;1;2.0;16.666666666666664
1;5;1.0;0.0;1.0;1;2.0;20.833333333333336
1;6;0.0;0.0;0.0;1;2.0;25.0
1;7;1.0;0.0;1.0;1;2.0;29.166666666666668
1;8;1.0;0.0;1.0;1;2.0;33.33333333333333
1;9;1.0;0.0;1.0;1;2.0;37.5
1;10;1.0;0.0;1.0;1;2.0;41.66666666666667
1;11;1.0;0.0;1.0;1;2.0;45.83333333333333
1;12;1.0;0.0;1.0;1;2.0;50.0
