k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;1.0;0.0;7.05
1;0.1;1.0;0.0;11.8
1;0.15;0.6;0.4;18.45
1;0.2;0.95;0.05;19.7
1;0.25;0.75;0.25;22.75
2;0.05;1.0;0.0;9.5
2;0.1;1.0;0.8;13.9
2;0.15;1.0;0.1;18.55
2;0.2;0.8;1.1;19.7
2;0.25;0.45;2.85;24.45
3;0.05;1.0;0.2;6.5
3;0.1;1.0;0.2;11.7
3;0.15;0.8;1.55;20.05
3;0.2;0.9;1.0;20.45
3;0.25;0.3;4.65;23.1
4;0.05;1.0;0.0;8.25
4;0.1;1.0;0.1;10.45
4;0.15;1.0;0.0;18.55
4;0.2;0.45;2.3;21.3
4;0.25;0.75;1.0;22.65
5;0.05;1.0;0.45;9.4
5;0.1;1.0;0.1;13.75
5;0.15;1.0;1.0;18.8
5;0.2;0.55;3.25;20.6
5;0.25;0.85;1.75;21.75
6;0.05;1.0;0.0;8.3
6;0.1;1.0;0.25;15.3
6;0.2;0.85;0.7;17.85
6;0.15;1.0;0.0;18.9
6;0.25;0.8;1.1;21.35
7;0.05;1.0;0.0;7.6
7;0.1;1.0;0.45;13.0
7;0.15;0.9;0.9;16.75
7;0.2;1.0;0.25;19.9
7;0.25;0.9;1.0;23.1
8;0.05;1.0;0.0;8.6
8;0.1;1.0;0.0;10.6
8;0.15;1.0;1.5;19.55
8;0.2;0.85;1.55;21.3
8;0.25;0.7;2.35;22.15
