k_effective;num_failures;success_rate;avg_bounces;avg_hops;unique_paths;avg_path_length;failure_percentage
1;0;1.0;0.0;1.0;1;2.0;0.0
1;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
1;2;1.0;0.0;2.0;1;3.0;5.555555555555555
1;3;1.0;0.0;3.0;1;4.0;8.333333333333332
1;4;1.0;0.0;3.0;1;4.0;11.11111111111111
1;5;1.0;0.0;3.0;1;4.0;13.88888888888889
1;6;1.0;0.0;5.0;1;6.0;16.666666666666664
1;7;1.0;0.0;5.0;1;6.0;19.444444444444446
1;8;1.0;0.0;4.0;1;5.0;22.22222222222222
1;9;0.0;0.0;0.0;0;0.0;25.0
1;10;0.0;0.0;0.0;0;0.0;27.77777777777778
1;11;1.0;0.0;5.0;1;6.0;30.555555555555557
1;12;0.0;0.0;0.0;0;0.0;33.33333333333333
1;13;0.0;0.0;0.0;0;0.0;36.11111111111111
1;14;0.0;0.0;0.0;0;0.0;38.88888888888889
1;15;0.0;0.0;0.0;0;0.0;41.66666666666667
2;0;1.0;0.0;1.0;1;2.0;0.0
2;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
2;2;1.0;0.0;2.0;1;3.0;5.555555555555555
2;3;1.0;1.0;3.0;1;4.0;8.333333333333332
2;4;1.0;1.0;3.0;1;4.0;11.11111111111111
2;5;0.0;0.0;0.0;0;0.0;13.88888888888889
2;6;0.0;0.0;0.0;0;0.0;16.666666666666664
2;7;0.0;0.0;0.0;0;0.0;19.444444444444446
2;8;1.0;2.0;5.0;1;6.0;22.22222222222222
2;9;0.0;0.0;0.0;0;0.0;25.0
2;10;0.0;0.0;0.0;0;0.0;27.77777777777778
2;11;0.0;0.0;0.0;0;0.0;30.555555555555557
2;12;0.0;0.0;0.0;0;0.0;33.33333333333333
2;13;0.0;0.0;0.0;0;0.0;36.11111111111111
2;14;0.0;0.0;0.0;0;0.0;38.88888888888889
2;15;0.0;0.0;0.0;0;0.0;41.66666666666667
3;0;1.0;0.0;1.0;1;2.0;0.0
3;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
3;2;1.0;0.0;2.0;1;3.0;5.555555555555555
3;3;1.0;0.0;3.0;1;4.0;8.333333333333332
3;4;1.0;0.0;3.0;1;4.0;11.11111111111111
3;5;1.0;1.0;5.0;1;6.0;13.88888888888889
3;6;1.0;1.0;5.0;1;6.0;16.666666666666664
3;7;1.0;1.0;5.0;1;6.0;19.444444444444446
3;8;0.0;0.0;0.0;0;0.0;22.22222222222222
3;9;0.0;0.0;0.0;0;0.0;25.0
3;10;0.0;0.0;0.0;0;0.0;27.77777777777778
3;11;0.0;0.0;0.0;0;0.0;30.555555555555557
3;12;0.0;0.0;0.0;0;0.0;33.33333333333333
3;13;0.0;0.0;0.0;0;0.0;36.11111111111111
3;14;0.0;0.0;0.0;0;0.0;38.88888888888889
3;15;0.0;0.0;0.0;0;0.0;41.66666666666667
4;0;1.0;0.0;1.0;1;2.0;0.0
4;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
4;2;1.0;0.0;2.0;1;3.0;5.555555555555555
4;3;1.0;0.0;3.0;1;4.0;8.333333333333332
4;4;1.0;0.0;3.0;1;4.0;11.11111111111111
4;5;1.0;0.0;3.0;1;4.0;13.88888888888889
4;6;1.0;0.0;3.0;1;4.0;16.666666666666664
4;7;1.0;0.0;3.0;1;4.0;19.444444444444446
4;8;1.0;0.0;4.0;1;5.0;22.22222222222222
4;9;1.0;0.0;4.0;1;5.0;25.0
4;10;1.0;0.0;4.0;1;5.0;27.77777777777778
4;11;0.0;0.0;0.0;0;0.0;30.555555555555557
4;12;0.0;0.0;0.0;0;0.0;33.33333333333333
4;13;0.0;0.0;0.0;0;0.0;36.11111111111111
4;14;0.0;0.0;0.0;0;0.0;38.88888888888889
4;15;0.0;0.0;0.0;0;0.0;41.66666666666667
5;0;1.0;0.0;1.0;1;2.0;0.0
5;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
5;2;1.0;0.0;2.0;1;3.0;5.555555555555555
5;3;1.0;0.0;3.0;1;4.0;8.333333333333332
5;4;1.0;0.0;3.0;1;4.0;11.11111111111111
5;5;1.0;0.0;3.0;1;4.0;13.88888888888889
5;6;1.0;0.0;3.0;1;4.0;16.666666666666664
5;7;1.0;0.0;3.0;1;4.0;19.444444444444446
5;8;1.0;0.0;3.0;1;4.0;22.22222222222222
5;9;0.0;0.0;0.0;0;0.0;25.0
5;10;0.0;0.0;0.0;0;0.0;27.77777777777778
5;11;1.0;0.0;3.0;1;4.0;30.555555555555557
5;12;0.0;0.0;0.0;0;0.0;33.33333333333333
5;13;0.0;0.0;0.0;0;0.0;36.11111111111111
5;14;0.0;0.0;0.0;0;0.0;38.88888888888889
5;15;0.0;0.0;0.0;0;0.0;41.66666666666667
6;0;1.0;0.0;1.0;1;2.0;0.0
6;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
6;2;1.0;0.0;2.0;1;3.0;5.555555555555555
6;3;1.0;0.0;3.0;1;4.0;8.333333333333332
6;4;1.0;0.0;2.0;1;3.0;11.11111111111111
6;5;1.0;0.0;4.0;1;5.0;13.88888888888889
6;6;1.0;0.0;3.0;1;4.0;16.666666666666664
6;7;1.0;0.0;4.0;1;5.0;19.444444444444446
6;8;1.0;0.0;4.0;1;5.0;22.22222222222222
6;9;1.0;0.0;5.0;1;6.0;25.0
6;10;0.0;0.0;0.0;0;0.0;27.77777777777778
6;11;0.0;0.0;0.0;0;0.0;30.555555555555557
6;12;0.0;0.0;0.0;0;0.0;33.33333333333333
6;13;0.0;0.0;0.0;0;0.0;36.11111111111111
6;14;0.0;0.0;0.0;0;0.0;38.88888888888889
6;15;0.0;0.0;0.0;0;0.0;41.66666666666667
7;0;1.0;0.0;1.0;1;2.0;0.0
7;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
7;2;1.0;0.0;2.0;1;3.0;5.555555555555555
7;3;1.0;0.0;2.0;1;3.0;8.333333333333332
7;4;1.0;0.0;2.0;1;3.0;11.11111111111111
7;5;1.0;0.0;2.0;1;3.0;13.88888888888889
7;6;1.0;0.0;3.0;1;4.0;16.666666666666664
7;7;1.0;0.0;2.0;1;3.0;19.444444444444446
7;8;0.0;0.0;0.0;0;0.0;22.22222222222222
7;9;0.0;0.0;0.0;0;0.0;25.0
7;10;0.0;0.0;0.0;0;0.0;27.77777777777778
7;11;0.0;0.0;0.0;0;0.0;30.555555555555557
7;12;0.0;0.0;0.0;0;0.0;33.33333333333333
7;13;0.0;0.0;0.0;0;0.0;36.11111111111111
7;14;0.0;0.0;0.0;0;0.0;38.88888888888889
7;15;0.0;0.0;0.0;0;0.0;41.66666666666667
8;0;1.0;0.0;1.0;1;2.0;0.0
8;1;1.0;0.0;1.0;1;2.0;2.7777777777777777
8;2;1.0;0.0;2.0;1;3.0;5.555555555555555
8;3;1.0;0.0;2.0;1;3.0;8.333333333333332
8;4;1.0;0.0;2.0;1;3.0;11.11111111111111
8;5;1.0;0.0;3.0;1;4.0;13.88888888888889
8;6;1.0;0.0;3.0;1;4.0;16.666666666666664
8;7;1.0;0.0;3.0;1;4.0;19.444444444444446
8;8;1.0;0.0;3.0;1;4.0;22.22222222222222
8;9;0.0;0.0;0.0;0;0.0;25.0
8;10;1.0;0.0;3.0;1;4.0;27.77777777777778
8;11;0.0;0.0;0.0;0;0.0;30.555555555555557
8;12;0.0;0.0;0.0;0;0.0;33.33333333333333
8;13;0.0;0.0;0.0;0;0.0;36.11111111111111
8;14;0.0;0.0;0.0;0;0.0;38.88888888888889
8;15;0.0;0.0;0.0;0;0.0;41.66666666666667
