k_effective;num_failures;success_rate;avg_bounces;avg_hops;unique_paths;avg_path_length;failure_percentage
1;0;1.0;0.0;2.0;1;3.0;0.0
1;1;1.0;0.0;2.0;1;3.0;5.0
1;2;0.0;0.0;0.0;0;0.0;10.0
1;3;0.0;0.0;0.0;0;0.0;15.0
1;4;0.0;0.0;0.0;0;0.0;20.0
1;5;0.0;0.0;0.0;0;0.0;25.0
1;6;0.0;0.0;0.0;0;0.0;30.0
1;7;0.0;0.0;0.0;0;0.0;35.0
1;8;0.0;0.0;0.0;0;0.0;40.0
1;9;0.0;0.0;0.0;0;0.0;45.0
1;10;0.0;0.0;0.0;0;0.0;50.0
2;0;1.0;0.0;2.0;1;3.0;0.0
2;1;1.0;0.0;2.0;1;3.0;5.0
2;2;1.0;0.0;2.0;1;3.0;10.0
2;3;1.0;0.0;4.0;1;5.0;15.0
2;4;1.0;0.0;5.0;1;6.0;20.0
2;5;1.0;0.0;5.0;1;6.0;25.0
2;6;0.0;0.0;0.0;0;0.0;30.0
2;7;0.0;0.0;0.0;0;0.0;35.0
2;8;0.0;0.0;0.0;0;0.0;40.0
2;9;0.0;0.0;0.0;0;0.0;45.0
2;10;0.0;0.0;0.0;0;0.0;50.0
3;0;1.0;0.0;2.0;1;3.0;0.0
3;1;1.0;0.0;2.0;1;3.0;5.0
3;2;1.0;0.0;2.0;1;3.0;10.0
3;3;1.0;0.0;3.0;1;4.0;15.0
3;4;1.0;0.0;3.0;1;4.0;20.0
3;5;1.0;0.0;3.0;1;4.0;25.0
3;6;0.0;0.0;0.0;0;0.0;30.0
3;7;0.0;0.0;0.0;0;0.0;35.0
3;8;0.0;0.0;0.0;0;0.0;40.0
3;9;0.0;0.0;0.0;0;0.0;45.0
3;10;0.0;0.0;0.0;0;0.0;50.0
4;0;1.0;0.0;2.0;1;3.0;0.0
4;1;1.0;0.0;2.0;1;3.0;5.0
4;2;1.0;0.0;2.0;1;3.0;10.0
4;3;1.0;1.0;4.0;1;5.0;15.0
4;4;1.0;0.0;3.0;1;4.0;20.0
4;5;0.0;0.0;0.0;0;0.0;25.0
4;6;0.0;0.0;0.0;0;0.0;30.0
4;7;0.0;0.0;0.0;0;0.0;35.0
4;8;0.0;0.0;0.0;0;0.0;40.0
4;9;0.0;0.0;0.0;0;0.0;45.0
4;10;0.0;0.0;0.0;0;0.0;50.0
